transaction_id,item
1,apple
1,milk
1,bread
2,rice
2,oil
2,beans
3,milk
3,eggs
3,cheese
3,yogurt
4,bread
4,butter
4,milk
5,apple
5,banana
5,orange
5,grapes
6,rice
6,chicken
6,vegetables
7,milk
7,coffee
7,tea
8,eggs
8,bacon
8,bread
9,bread
9,cheese
9,tomato
9,milk
10,yogurt
10,berries
10,banana
11,milk
11,cereal
11,banana
12,rice
12,beans
12,oil
13,coffee
13,sugar
13,milk
14,bread
14,eggs
14,bacon
15,chicken
15,vegetables
15,rice
16,apple
16,orange
16,banana
16,milk
17,cheese
17,crackers
17,wine
18,milk
18,butter
18,yogurt
18,cheese
19,cereal
19,milk
19,banana
20,bread
20,jam
20,butter
